objectId,redDecimal,blueHex,greenFraction,hexCode,ACL,redHex,name,updatedAt,greenDecimal,redFraction,blueDecimal,greenHex,createdAt,blueFraction
uLr5neGECL,134,8E,0.38,#86608E,null,86,Pomp and Power,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),96,0.53,142,60,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.56
nQBL1Ok3Dg,190,62,0.31,#BE4F62,null,BE,Popstar,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),79,0.75,98,4F,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.38
ZHykTXvNAD,204,99,0.53,#CC8899,null,CC,Puce,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),136,0.8,153,88,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.6
riJhIfjet4,100,17,0.25,#644117,null,64,Pullman Brown (UPS Brown),Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),65,0.39,23,41,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.09
FCYXLpCjDD,255,18,0.46,#FF7518,null,FF,Pumpkin,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),117,1,24,75,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.09
OGY79034Zz,254,DA,0.31,#FE4EDA,null,FE,Purple pizzazz,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),78,1,218,4E,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.85
LFqzB01KNm,78,80,0.32,#4E5180,null,4E,Purple navy,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),81,0.31,128,51,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.5
UYu5Dsuzit,106,AD,0,#6A0DAD,null,6A,Purple,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),13,0.38,173,0D,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.5
oA5Gx2uAUH,128,80,0,#800080,null,80,Purple (web),Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0,0.5,128,00,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.5
ynDhyx7pSE,159,C5,0,#9F00C5,null,9F,Purple (Munsell),Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0,0.62,197,00,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.77
un0yPTESyB,156,B6,0.32,#9C51B6,null,9C,Purple Plum,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),81,0.61,182,51,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.71
27lFwAJvbQ,154,AE,0.31,#9A4EAE,null,9A,Purpureus,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),78,0.6,174,4E,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.68
q2BLKBfO5e,160,F0,0.13,#A020F0,null,A0,Purple (X11),Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),32,0.63,240,20,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.94
7HjEvlI5GX,150,B6,0.47,#9678B6,null,96,Purple mountain majesty,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),120,0.59,182,78,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.71
OIGMvXn2ip,232,D7,0.8,#E8CCD7,null,E8,Queen pink,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),204,0.91,215,CC,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.84
rbnoZquFzx,145,6D,0.37,#915F6D,null,91,Raspberry glace,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),95,0.57,109,5F,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.43
tUKEts0oNx,36,24,0.13,#242124,null,24,Raisin black,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),33,0.14,36,21,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.14
yo5XXrZ1HX,166,A6,0.65,#A6A6A6,null,A6,Quick Silver,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),166,0.65,166,A6,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.65
